"mz","time","PeakID","Module_RTclust"
1053.75168,36.7,"Peak9743","19_1"
1053.89386,513.5,"Peak9744","3_38"
1054.15246,37.7,"Peak9745","13_1"
1054.1654,435.7,"Peak9746","15_36"
1054.23653,496,"Peak9747","3_36"
1054.46291,38.2,"Peak9749","3_1"
1054.47585,505.6,"Peak9750","4_35"
1054.50819,505.5,"Peak9751","47_29"
1054.57936,502.4,"Peak9752","47_29"
1054.69583,419.7,"Peak9753","17_31"
1054.75407,38.3,"Peak9754","33_1"
1055.08421,503.7,"Peak9756","47_29"
1055.18781,409.8,"Peak9757","50_26"
1055.58294,503.8,"Peak9761","47_29"
1055.64126,397.2,"Peak9762","4_24"
1055.6931,410.7,"Peak9763","50_26"
1055.76438,39.5,"Peak9764","47_1"
1056.08202,502.6,"Peak9765","47_29"
1056.1339,396.6,"Peak9766","40_26"
1056.2636,37.9,"Peak9768","19_1"
1056.46468,36.4,"Peak9769","47_1"
1056.47765,507.1,"Peak9770","23_47"
1056.54902,38.6,"Peak9771","19_1"
1056.64635,405.6,"Peak9772","17_30"
1056.68529,39.6,"Peak9773","3_1"
1057.05528,493.7,"Peak9775","47_29"
1057.15269,418.4,"Peak9776","3_28"
1057.49694,361.2,"Peak9779","40_22"
1057.56191,503,"Peak9780","47_29"
1057.65288,409.5,"Peak9781","17_30"
1058.02989,579.7,"Peak9783","50_41"
1058.15344,36.9,"Peak9785","33_1"
1058.15344,409.3,"Peak9785","17_30"
1058.45915,36.1,"Peak9787","37_1"
1058.55023,40,"Peak9788","12_1"
1058.65435,409.2,"Peak9789","17_30"
1058.77149,37.6,"Peak9790","45_1"
1059.15561,409.4,"Peak9792","17_30"
1059.27284,39.8,"Peak9793","19_1"
1059.53994,500.8,"Peak9794","40_36"
1059.65723,408.7,"Peak9795","17_30"
1059.77455,37.4,"Peak9796","19_1"
106.02262,43.4,"Peak90","36_1"
106.05198,352.7,"Peak91","6_31"
106.06453,507.5,"Peak92","19_37"
106.10677,42.4,"Peak93","29_1"
106.95003,39.9,"Peak94","29_1"
1060.03531,505.3,"Peak9797","40_36"
1060.15595,409.9,"Peak9798","33_29"
1060.27661,38,"Peak9800","36_1"
1060.54409,39.4,"Peak9801","51_1"
1060.64197,344.2,"Peak9803","47_17"
1060.77576,40.5,"Peak9805","19_1"
1061.04016,506.7,"Peak9806","47_29"
1061.64768,367.3,"Peak9808","19_25"
1061.74572,41.4,"Peak9809","19_1"
1062.09876,433.9,"Peak9811","47_26"
1062.15761,407.4,"Peak9812","27_25"
1062.55012,439.1,"Peak9814","47_26"
1062.65483,369.9,"Peak9815","50_23"
1063.09999,434,"Peak9817","3_31"
1063.552,443.3,"Peak9820","47_26"
1063.66996,369.7,"Peak9821","17_27"
1064.02396,537.7,"Peak9823","4_39"
1064.2535,36.8,"Peak9826","36_1"
1064.67342,370.4,"Peak9827","17_27"
1065.03449,513.5,"Peak9830","40_37"
1065.16583,427.4,"Peak9831","36_27"
1065.55342,445.4,"Peak9833","47_26"
1065.67164,369.4,"Peak9834","40_23"
1066.12857,380.5,"Peak9836","17_28"
1066.18448,424.6,"Peak9837","47_25"
1066.5529,460.3,"Peak9840","47_27"
1066.62529,369.8,"Peak9841","17_27"
1066.67136,369.3,"Peak9842","17_27"
1066.75692,37.5,"Peak9843","2_1"
1066.92809,502.2,"Peak9844","3_37"
1067.12564,370.1,"Peak9846","17_27"
1067.25737,39.6,"Peak9847","40_1"
1067.63293,370,"Peak9849","17_27"
1068.1274,370.1,"Peak9853","50_23"
1068.62881,370,"Peak9856","18_26"
1068.70801,410.6,"Peak9857","36_26"
1069.02491,504.7,"Peak9858","47_29"
1069.14378,388.9,"Peak9859","50_25"
1069.44766,507.4,"Peak9861","47_29"
1069.63269,370.4,"Peak9862","50_23"
1069.71861,432.4,"Peak9863","32_48"
107.01907,169.4,"Peak95","19_10"
107.04844,265,"Peak96","48_20"
107.05982,459.1,"Peak97","20_30"
107.06987,375.7,"Peak98","37_22"
107.07236,558.2,"Peak99","26_33"
107.085,546.1,"Peak100","27_35"
107.54042,246,"Peak101","45_18"
