"","x"
"190.04921_104.5",561
"190.07056_85.2",557
"190.07085_451.5",346
"190.08532_155.9",170
"190.13536_180.5",310
"190.1586_539.2",188
"190.91123_40.1",234
"190.95652_571.6",280
"190.96603_46.4",435
"190.99489_573.5",269
"191.00719_87.3",290
"191.03958_42.5",210
"191.07605_38.5",256
"191.08418_60",1722
"191.08814_164.5",424
"191.1423_550.1",287
"191.15348_71.2",282
"191.15349_545.9",341
"191.16331_300.7",448
"191.17961_488.7",486
"191.88462_536.7",276
"191.88467_60.1",240
"191.96105_181",447
"191.96139_553.7",253
"192.04047_42.4",514
"192.06106_35.3",404
"192.07308_38.6",286
"192.0938_34.6",1086
"192.10162_251.8",371
"192.17422_520.4",464
"192.90934_40.1",226
"193.00568_566.9",353
"193.02776_179.2",874
"193.06153_259.4",224
"193.08497_63.1",966
"193.10506_175.6",281
"193.12135_238.2",412
"193.1305_41.2",612
"193.14224_271.6",565
"193.15955_558.4",231
"193.92931_397.2",188
"193.95856_564.7",1927
"193.97301_37.8",612
"194.00854_444.2",1173
"194.02911_567.8",955
"194.02923_86.5",291
"194.05283_322",651
"194.08028_90",569
"194.11685_532.5",275
"194.13804_172.6",474
"194.1742_141.8",800
"194.96539_253.3",245
"195.00821_503.2",594
"195.03081_35.7",1448
"195.07181_322.2",1003
"195.0869_331.1",340
"195.10075_372.2",245
"195.11203_53.3",1360
"195.12189_365.3",348
"195.1371_314.7",168
"195.17373_425.1",1071
"195.93288_197.1",1594
"195.99259_380.2",349
"196.05977_59",841
"196.08998_267.8",268
"196.13227_256.9",271
"196.15315_192.1",449
"196.86429_43.1",391
"196.88881_56.7",1478
"196.91083_94.5",2426
"196.99998_481.3",693
"197.07925_317.7",665
"197.0936_60",524
"197.11622_271",331
"197.12869_531.9",320
"197.1527_320.3",402
"197.29007_56.7",514
"197.98777_538.5",667
"198.00031_184.4",199
"198.07858_56.4",320
"198.09682_61.4",1110
"198.14819_370.6",1045
"198.18456_543.8",402
