"mz","time","rep1","rep2","rep3"
122.547083,47.81024933,1490793.125,0,829939.0625
130.0078036,48.07360077,17740.78906,12790.37012,11178.21387
105.003133,48.31130028,0,5415.882813,9387.879883
168.0159555,48.4053332,52911.21094,22113.61914,19322.55469
197.0404911,49.17529996,5185.478516,11000.43945,10482.75098
255.2316276,49.65295029,6758.996094,1736.837524,0
95.04381603,49.66006533,204290.7344,100863.0469,121089.7813
102.051457,49.82793299,8144.984863,5393.437988,5982.435059
103.0369796,50.05539958,15289.18164,7443.467773,8845.207031
102.0270956,50.05556552,22573.96875,13469.88965,19949.85156
95.04380485,50.93143336,212480.1875,86694.64063,129395.9844
167.0127357,51.2837677,1238460.125,545953.5,573229.5
309.2033812,51.33200073,23671.05859,11470.8584,4872.516113
207.9850704,52.56783168,57349.64453,21353.38477,35251.50781
115.017055,52.68795013,0,8118.275391,6466.253418
102.0615749,52.83646647,17179.37305,11787.57813,13287.6123
125.9861493,53.13900057,330707.875,67925.63281,113958.75
176.0132604,53.18436686,26684.57422,46419.91797,67152.32031
190.0019858,53.39495087,0,9633.332031,16450.7793
179.9901856,54.42810186,19812.78906,7096.481445,7618.625488
153.0326118,54.77000046,21518.08789,20037.95703,18660.72656
178.0397742,54.87765121,0,70445.14844,54369.07813
198.0006789,55.21556727,31223.33789,18259.59375,18664.45703
148.0182432,55.35470072,2636.339355,6859.252441,8923.143555
110.5215539,55.61443329,186414.625,82607.89063,145312.0156
139.0114392,55.64369965,0,15207.6748,22935.22656
151.0351758,56.16863251,268498.375,181633.1563,186509.4531
123.0486553,56.20179876,180814.3906,88519.08594,94369.65625
156.0138888,56.32534981,0,6024.281738,9494.904297
166.9862291,56.386549,0,5631.183594,9226.489258
102.0410812,56.68519847,17373.17383,11048.46973,13822.79395
115.5570598,57.12433434,26320.19141,14221.06348,8979.702148
335.9449963,57.5387001,6874.581543,0,1169.324463
229.1406852,58.14586767,8930.118164,3121.750244,6982.402832
257.9674046,58.18833288,35566.01953,8833.829102,21976.27148
73.06482122,58.23946762,16507.74023,5496.194824,2038.721558
177.0067907,58.67060089,0,14733.33008,3544.210693
200.9720528,58.68563461,5099.906738,9428.375977,9798.719727
171.9915125,58.77884865,0,67444.07031,102909.3828
143.0394144,59.3246994,65074.39063,25586.16602,16938.42773
130.0078055,59.68170039,23773.00391,12266.3457,12819.98535
275.9780246,60.17666626,54817.80078,15971.60645,35790.88672
101.096163,60.22340012,3190.758789,7363.900879,6340.497559
152.035899,60.28886541,22062.94922,16640.63672,15884.63672
171.0989105,60.36360041,406793.625,6664.773926,5718.984375
104.0301196,60.65866597,90457.46875,47838.56641,67735.78125
127.5440929,61.45380084,2933.145264,42023.71484,15606.29297
153.0326051,61.72900009,19366.41602,18130.0293,18540.95313
123.0402061,62.14713287,21242.68945,3728.802002,5614.225586
213.0180551,62.51813507,50325.6875,106079.6328,125181.6328
